Materials, description, Quantity,unit(cost),UG(sh),USD($),totalcost,UG(sh),USD($)
Transistor,TDA 2030,10pieces,-,-,-,-,-,-
Capacitor,16v/470uf,10piece,-,-,-,-,-,-
         ,50v0.1uf,10pieces,_,_,_,_,_,_
         ,2A104j,10pieces,_,_,_,_,_,_
Resistors,330n/2watts,10pieces,-,-,-,-,-,-
         ,1k/2watts,10pieces,-,-,-,-,-,-
         ,47k      ,10pieces,_,_,_,_,_,_
         ,100k     ,10pieces,_,_,_,_,_,_
         ,470ohm,  ,10pieces,_,_,_,_,_,_
         ,100ohm,  ,10pieces,_,_,_,_,_,_
Ceramic capacitor,100n,05pieces,-,-,-,-,-,-
Jumper wire,for looping current,05pieces,-,-,-,-,-,-
Ceramic capacitor,100n/5watts,05pieces,-,-,-,-,-,-
Audio lines,link audio to the innovation,05pieces,-,-,-,-,-,-
Power line input,powering the innovation,05pieces,-,-,-,-,-,-
Alluminium shock absorber, absorbing the heat produced by TDA 2030,05pieces,-,-,-,-,-,-
Battery/accumulator,12v/7AH,03pieces,-,-,-,-,-,-
Bass speaker,500n,05pieces,-,-,-,-,-,-
Circuit boards,for implementation of the project after innovation,10pieces,-,-,-,-,-,-
Soldering wire,for soldering the components on the circuit board,01roll,-,-,-,-,-,-
Diode, 1N4148,10pieces,_,_,_,_,_,_
Diode, 3A    ,10pieces,_,_,_,_,_,_
